"dte","collectionid","collectionname","marketcupusd"
2022-02-07,504,BoredApeYachtClub,5846463.921
2022-02-08,1,MutantApeYachtClub,5094672.659099998
2022-02-08,504,BoredApeYachtClub,2775718.0700000003
2022-02-09,1,MutantApeYachtClub,3392236.727999999
2022-02-09,504,BoredApeYachtClub,4886481.420000001
2022-02-10,1,MutantApeYachtClub,2829449.9105999996
2022-02-10,504,BoredApeYachtClub,3407667.7800000003
2022-02-11,1,MutantApeYachtClub,1698998.5899999999
2022-02-11,504,BoredApeYachtClub,3467976.3800000004
2022-02-12,1,MutantApeYachtClub,2051068.3256940003
2022-02-12,504,BoredApeYachtClub,5045439.24
2022-02-13,1,MutantApeYachtClub,2906351.0771999997
2022-02-13,504,BoredApeYachtClub,5247612.380000001
2022-02-14,1,MutantApeYachtClub,1719488.675
2022-02-14,504,BoredApeYachtClub,1763383.2300000002
2022-02-15,1,MutantApeYachtClub,2544238.3
2022-02-15,504,BoredApeYachtClub,3696855.14
2022-02-16,1,MutantApeYachtClub,4241411.719390082
2022-02-16,504,BoredApeYachtClub,2265804.213
2022-02-17,1,MutantApeYachtClub,2230220.5200000005
2022-02-17,504,BoredApeYachtClub,2833622.2470000004
2022-02-18,1,MutantApeYachtClub,1796299.5499999998
2022-02-18,504,BoredApeYachtClub,3663857.68
2022-02-19,1,MutantApeYachtClub,2119685.6528000003
2022-02-19,504,BoredApeYachtClub,606180.5000000001
2022-02-20,1,MutantApeYachtClub,1540713.3655
2022-02-20,504,BoredApeYachtClub,2983170.793898889
2022-02-21,1,MutantApeYachtClub,1299279.1808000002
2022-02-21,504,BoredApeYachtClub,2350805.2100000004
2022-02-22,1,MutantApeYachtClub,1565096.01
2022-02-22,504,BoredApeYachtClub,2305423.84
2022-02-23,1,MutantApeYachtClub,1875262.9980000001
2022-02-23,504,BoredApeYachtClub,1827366.7200000002
2022-02-24,1,MutantApeYachtClub,4446738.9416336445
2022-02-24,504,BoredApeYachtClub,5399110.854400001
2022-02-25,1,MutantApeYachtClub,2752560.332000001
2022-02-25,504,BoredApeYachtClub,8872751.28337
2022-02-26,1,MutantApeYachtClub,1826529.634
2022-02-26,504,BoredApeYachtClub,3800098.73
2022-02-27,1,MutantApeYachtClub,866601.6880000001
2022-02-27,504,BoredApeYachtClub,2616737.3000000003
2022-02-28,1,MutantApeYachtClub,975134.02
2022-02-28,504,BoredApeYachtClub,1651924.3599999999
2022-03-01,1,MutantApeYachtClub,1077351.5366
2022-03-01,504,BoredApeYachtClub,2283414.632
2022-03-02,1,MutantApeYachtClub,1870075.1106999998
2022-03-02,504,BoredApeYachtClub,3014133.7800000003
2022-03-03,1,MutantApeYachtClub,1442618.9393
2022-03-03,504,BoredApeYachtClub,807106.1
2022-03-04,1,MutantApeYachtClub,1601815.6317000003
2022-03-04,504,BoredApeYachtClub,2850395.4765000003
2022-03-05,1,MutantApeYachtClub,2095590.72
2022-03-05,504,BoredApeYachtClub,1601946.0
